p_value,tokamak_mean,pmodel_mean,tokamak_std,pmodel_std,tokamak_skewness,pmodel_skewness,tokamak_kurtosis,pmodel_kurtosis,tokamak_min,pmodel_min,tokamak_max,pmodel_max,tokamak_entropy,pmodel_entropy,kl_tokamak_pmodel,kl_pmodel_tokamak
0.15,0.24431959028533057,0.056851826588437376,0.11704693167153014,0.1643827566859846,3.4599280221729174,4.993680530512579,20.76442742962174,25.557800576732955,0.0,0.0,0.9999999999999999,0.9999998618985387,0.8818585354526709,0.183751149603549,19.109441200321207,7.8755641938633
0.18333333333333335,0.24431959028533057,0.0540833401213228,0.11704693167153014,0.12743188528669167,3.4599280221729174,5.5998765868393034,20.76442742962174,37.29555871234089,0.0,0.0,0.9999999999999999,0.9999998563402372,0.8818585354526709,0.48275020763655835,18.02953006828219,8.103186583367474
0.21666666666666667,0.24431959028533057,0.058750028450202885,0.11704693167153014,0.13072270712992007,3.4599280221729174,5.239172345407496,20.76442742962174,32.98727230360328,0.0,0.0,0.9999999999999999,0.9999999568124791,0.8818585354526709,0.37282293034671443,18.03612304274717,8.40138133891037
0.25,0.24431959028533057,0.11169749337418278,0.11704693167153014,0.178747352981726,3.4599280221729174,3.3989480374815018,20.76442742962174,13.399117891687759,0.0,0.0,0.9999999999999999,0.9999998241758551,0.8818585354526709,0.49958955049906484,17.73355967849048,12.957015463427343
0.2833333333333333,0.24431959028533057,0.13355661135155242,0.11704693167153014,0.18370219576566546,3.4599280221729174,2.993892025282873,20.76442742962174,10.555316102282275,0.0,0.0,0.9999999999999999,0.999999795708391,0.8818585354526709,1.0772895191992884,17.965794646180427,14.047344186972262
0.31666666666666665,0.24431959028533057,0.14594075290087877,0.11704693167153014,0.15776550096383304,3.4599280221729174,2.667014227337724,20.76442742962174,9.824436208244693,0.0,0.0,0.9999999999999999,0.9999998865813409,0.8818585354526709,1.0873127334141763,17.686572986629393,8.204396441114802
0.35000000000000003,0.24431959028533057,0.16649037605409478,0.11704693167153014,0.1682467191444461,3.4599280221729174,2.248765425334472,20.76442742962174,6.758233775392579,0.0,0.0,0.9999999999999999,0.9999998366522599,0.8818585354526709,1.4923125551966876,17.43228079642174,5.915383708774354
0.3833333333333334,0.24431959028533057,0.21581045180196393,0.11704693167153014,0.1800159701030448,3.4599280221729174,1.6761052572250075,20.76442742962174,3.640133872697877,0.0,0.0,0.9999999999999999,0.9999997555183627,0.8818585354526709,1.3581234841531944,15.711066720292052,5.6624000372911585
0.41666666666666674,0.24431959028533057,0.3183980762534107,0.11704693167153014,0.190585366194535,3.4599280221729174,0.9118919008420477,20.76442742962174,0.9197191323606835,0.0,0.0,0.9999999999999999,0.9999994512353048,0.8818585354526709,1.2909841813155656,16.038194626343554,8.651036558555319
0.45,0.24431959028533057,0.35398589973882394,0.11704693167153014,0.19980255833198068,3.4599280221729174,0.6597240798830666,20.76442742962174,0.3181232629708033,0.0,0.0,0.9999999999999999,0.9999992669336495,0.8818585354526709,1.3567936967231928,16.280275033611005,7.126805491913646
